iteration,loc_LB,loc_UB,glob_LB,glob_UB,repeated_services,missed_services 
46,18041.56,32068.715999999997,18041.56,29634.336000000003,17;54;57;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;25;26;29;31;33;34;35;36;37;38;39;41;42;43;44;47;48;49;50;51;52;53;56;59;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;77;78;83;86;88;91;92;93;94;95;98;99;
47,18101.732,31337.888,18101.732,29634.336000000003,17;54;57;58;76;96;,1;2;3;5;8;10;12;13;14;15;16;19;20;21;22;23;26;30;34;35;37;39;42;44;46;47;48;50;51;52;53;55;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;81;82;83;85;87;88;90;91;92;94;97;
48,18154.32,31315.731999999996,18154.32,29634.336000000003,4;58;,1;3;5;8;12;13;14;15;16;19;20;21;22;23;24;25;26;29;31;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;83;84;87;88;91;92;94;95;98;
49,18210.904000000002,29659.928000000007,18210.904000000002,29634.336000000003,4;17;54;57;58;76;96;,1;2;3;5;8;12;13;14;15;16;19;20;21;22;23;26;34;35;37;38;39;42;44;47;48;50;51;52;53;56;59;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;88;91;92;94;95;
50,18265.5,31496.675999999996,18265.5,29634.336000000003,4;58;,1;2;3;5;6;8;9;11;12;13;14;15;16;18;19;20;21;22;23;26;27;28;29;30;32;34;35;37;39;40;42;44;47;48;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;73;74;77;78;83;87;88;89;91;92;94;
51,18386.376,32787.884000000005,18386.376,29634.336000000003,4;6;7;11;14;17;18;27;28;32;43;44;45;47;54;57;58;60;66;71;76;78;88;89;,1;3;5;8;12;13;15;16;19;20;21;22;23;25;26;31;33;34;35;37;38;39;41;42;48;49;50;51;52;53;56;59;61;62;64;65;67;68;69;70;72;73;74;77;83;86;91;92;94;95;98;
52,18574.6,31781.512,18574.6,29634.336000000003,4;58;,1;2;3;5;6;9;11;12;13;14;15;16;18;19;20;21;22;23;26;27;28;30;32;33;34;35;37;39;42;43;44;47;48;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;73;74;77;78;81;83;86;87;88;89;91;92;94;
53,18918.808,28360.844000000005,18918.808,28360.844000000005,4;9;17;18;43;55;58;68;69;87;96;,1;2;8;12;13;16;19;20;21;23;24;26;35;37;38;39;40;42;48;50;51;52;53;56;59;61;62;65;67;70;73;74;77;80;83;84;91;94;95;
54,19166.052,28862.936,19166.052,28360.844000000005,17;54;57;,5;8;9;12;15;16;19;20;21;22;23;25;26;29;31;33;34;35;36;37;39;41;42;49;50;51;53;56;59;63;65;67;68;69;70;72;73;74;77;83;86;87;91;92;93;94;96;99;
55,19521.764,29976.380000000005,19521.764,28360.844000000005,4;7;17;25;29;31;41;43;44;45;55;58;64;71;76;78;88;93;96;98;,2;10;12;16;19;20;21;22;24;26;30;35;37;38;39;42;46;50;51;53;56;65;67;69;70;73;77;80;81;82;83;84;85;90;94;95;97;
